"US MAPPING COMPANIES — lidar/aerial/mobile mapping, tomography, cartography (GIS-Point, чер.2026)"
"Цільові групи: 30-100, 200-300, 300-500 | Реєстр: 138 фірм | Покриття: 50 штатів+DC"
"Увага: вибірка ідентифікованих фірм (не перепис); к-сть працівників — оцінки (±30-50%, див. Confidence)."

===== 1. КОМПАНІЇ (реєстр 138 фірм) =====
Company,HQ_State,Firm_Type,Employees_Estimate,Size_Bucket,Service_Categories,Status,Confidence
NY,10,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; EagleView Technologies; GPI / Greenman-Pedersen; KCI Technologies; Michael Baker International; NV5 Global (NVEE); SAM (Surveying And Mapping LLC)
CO,10,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Merrick & Company; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
MD,9,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; KCI Technologies; Michael Baker International; NV5 Geospatial
TN,8,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; KCI Technologies; Merrick & Company; Michael Baker International; NV5 Global (NVEE)
SC,8,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International; Woolpert
MA,7,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; Michael Baker International; NV5 Global (NVEE)
IL,7,Atwell LLC; Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Dewberry; Michael Baker International; NV5 Global (NVEE); Woolpert
MO,7,Axim Geospatial (now NV5); Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International; NV5 Global (NVEE); SAM (Surveying And Mapping LLC)
AL,7,Atwell LLC; Axim Geospatial (now NV5); Bowman Consulting (BWMN; incl. Surdex); Dewberry; Merrick & Company; Michael Baker International; Woolpert
OH,7,Bowman Consulting (BWMN; incl. Surdex); GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Michael Baker International; SAM (Surveying And Mapping LLC); Woolpert
AZ,6,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Michael Baker International; NV5 Global (NVEE)
NM,6,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Merrick & Company; Michael Baker International; NV5 Global (NVEE)
DE,6,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Michael Baker International
OR,5,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International; NV5 Geospatial
AK,5,Bowman Consulting (BWMN; incl. Surdex); Dewberry; Fugro USA; Merrick & Company; Michael Baker International
CT,5,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; Michael Baker International
IN,5,Bowman Consulting (BWMN; incl. Surdex); KCI Technologies; Michael Baker International; SAM (Surveying And Mapping LLC); Woolpert
LA,5,Bowman Consulting (BWMN; incl. Surdex); Dewberry; Fugro USA; McKim & Creed; Michael Baker International
NJ,5,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; Michael Baker International
WA,5,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; EagleView Technologies; Michael Baker International
ID,4,Bowman Consulting (BWMN; incl. Surdex); Merrick & Company; Michael Baker International; NV5 Global (NVEE)
WI,4,Axim Geospatial (now NV5); Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
KS,4,Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Michael Baker International; SAM (Surveying And Mapping LLC)
MI,4,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
SD,4,Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Fugro USA; Michael Baker International
UT,4,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
IA,3,Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
ME,3,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
MN,3,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
MS,3,Bowman Consulting (BWMN; incl. Surdex); Dewberry; Michael Baker International
NE,3,Bowman Consulting (BWMN; incl. Surdex); GPI / Greenman-Pedersen; Michael Baker International
NV,3,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
NH,3,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
ND,3,Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
OK,3,Bowman Consulting (BWMN; incl. Surdex); Dewberry; Michael Baker International
RI,3,Bowman Consulting (BWMN; incl. Surdex); GPI / Greenman-Pedersen; Michael Baker International
WY,3,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Michael Baker International
AR,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
HI,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
KY,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
MT,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
VT,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
WV,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
DC,1,KCI Technologies

===== 5. ПІДСУМОК ПО РОЗМІРНИХ ГРУПАХ =====
Size_Bucket,Company_Count,Is_Target_Bucket
<30,38,no
30-100,37,YES
100-200,18,no
200-300,9,YES
300-500,8,YES
>500,28,no
ALL,138,

===== 6. ПІДСУМОК ПО КАТЕГОРІЯХ ПОСЛУГ =====
Service_Category,<30,30-100,100-200,200-300,300-500,>500,TOTAL
aerial,12,13,5,4,4,14,52
lidar,9,13,8,6,5,17,58
mobile,4,10,4,4,5,18,45
tomography,11,11,4,2,3,8,39
cartography,16,15,12,7,5,20,75

===== 7. ГАЛУЗЬ (знаменник) ТА ДЖЕРЕЛА =====
NAICS 541370 — бізнесів усього (IBISWorld 2025),17511
establishments-роботодавців (Census CBP 2020),~7382
зайнятість у галузі (2023),~55206
середній розмір фірми,3.8 працівника
зайнятість по штатах (BLS QCEW 2023),TX 9139; FL 6684; CA 4085
Джерела,"IBISWorld; Census CBP/SUSB; BLS QCEW; MAPPS; LinkedIn/ZoomInfo/PitchBook/Crunchbase/D&B; SEC 10-K (NVEE,BWMN)"
Census по штатах x розмірних класах,недоступно: census.gov/bls.gov заблоковані політикою середовища
